Date,High,Low,Open,Close,Volume,Adj Close
2020-01-01,766.7999877929688,760.3499755859375,766.0,762.0999755859375,746371.0,731.8701171875
2020-01-02,769.1500244140625,761.0,762.0999755859375,766.0499877929688,1133488.0,735.6634521484375
2020-01-03,779.9000244140625,763.5499877929688,766.0,775.0999755859375,2121704.0,744.3543701171875
2020-01-06,778.7999877929688,768.1500244140625,774.8499755859375,770.4000244140625,1734439.0,739.8409423828125
2020-01-07,778.5,760.5999755859375,770.0,777.0999755859375,1937143.0,746.2750854492188
2020-01-08,784.9000244140625,767.0999755859375,770.0999755859375,769.7999877929688,2596664.0,739.2647094726562
2020-01-09,776.4500122070312,762.2000122070312,770.5,773.6500244140625,1678891.0,742.9619750976562
2020-01-10,781.9000244140625,772.4500122070312,779.0,776.25,1105725.0,745.4588623046875
2020-01-13,788.7000122070312,775.0499877929688,779.9000244140625,785.8499755859375,1393509.0,754.677978515625
2020-01-14,797.7999877929688,783.7000122070312,785.8499755859375,796.25,1628535.0,764.6654663085938
2020-01-15,803.6500244140625,788.5,796.1500244140625,795.1500244140625,1759644.0,763.609130859375
2020-01-16,795.7000122070312,781.0999755859375,793.0,782.8499755859375,1110008.0,751.7969970703125
2020-01-17,786.75,775.5,783.5,778.4500122070312,989312.0,747.5715942382812
2020-01-20,785.4500122070312,774.5499877929688,778.5,778.2000122070312,1620105.0,747.33154296875
2020-01-21,783.4000244140625,775.0,777.25,778.9000244140625,976954.0,748.0037231445312
2020-01-22,790.4500122070312,776.2000122070312,780.0,778.75,1192201.0,747.8596801757812
2020-01-23,780.4500122070312,766.9000244140625,777.25,768.9500122070312,2018777.0,738.4484252929688
2020-01-24,788.75,763.2999877929688,765.0999755859375,787.2999877929688,2364265.0,756.0704956054688
2020-01-27,796.25,779.6500244140625,786.0,791.5,1175606.0,760.1038818359375
2020-01-28,795.75,784.5999755859375,792.5,794.25,1506685.0,762.7448120117188
